prog,id,sex,ses,schtyp,read,write,math,science,honors
vocation,45,female,low,public,34,35,41,29,not enrolled
general,108,male,middle,public,34,33,41,36,not enrolled
vocation,15,male,high,public,39,39,44,26,not enrolled
vocation,67,male,low,public,37,37,42,33,not enrolled
vocation,153,male,middle,public,39,31,40,39,not enrolled
general,51,female,high,public,42,36,42,31,not enrolled
vocation,164,male,middle,public,31,36,46,39,not enrolled
vocation,133,male,middle,public,50,31,40,34,not enrolled
vocation,2,female,middle,public,39,41,33,42,not enrolled
vocation,53,male,middle,public,34,37,46,39,not enrolled
vocation,1,female,low,public,34,44,40,39,not enrolled
academic,128,male,high,public,39,33,38,47,not enrolled
vocation,16,male,low,public,47,31,44,36,not enrolled
vocation,106,female,middle,public,36,44,37,42,not enrolled
vocation,89,female,low,public,35,35,40,51,not enrolled
general,134,male,low,public,44,44,39,34,not enrolled
general,19,female,low,public,28,46,43,44,not enrolled
vocation,145,female,middle,public,42,46,38,36,not enrolled
academic,11,male,middle,public,34,46,45,39,not enrolled
vocation,117,male,high,public,34,49,39,42,not enrolled
general,109,female,middle,public,42,39,42,42,not enrolled
vocation,12,male,middle,public,37,44,45,39,not enrolled
vocation,37,female,low,public,41,47,40,39,not enrolled
vocation,69,female,low,public,44,44,40,40,not enrolled
academic,43,female,low,public,47,37,43,42,not enrolled
academic,196,male,high,private,44,38,49,39,not enrolled
general,36,female,low,public,44,49,44,35,not enrolled
general,155,male,middle,public,44,44,46,39,not enrolled
academic,6,female,low,public,47,41,46,40,not enrolled
academic,4,female,low,public,44,50,41,39,not enrolled
general,25,female,middle,public,47,44,42,42,not enrolled
vocation,107,male,low,public,47,39,47,42,not enrolled
academic,5,male,low,public,47,40,43,45,not enrolled
academic,47,female,low,public,47,46,49,33,not enrolled
vocation,140,male,middle,public,44,41,40,50,not enrolled
vocation,22,male,middle,public,42,39,39,56,not enrolled
vocation,18,male,middle,public,50,33,49,44,not enrolled
academic,30,female,high,public,41,59,42,34,not enrolled
general,40,male,low,public,42,41,43,50,not enrolled
academic,176,male,middle,private,47,47,41,42,not enrolled
general,126,male,middle,public,42,31,57,47,not enrolled
academic,197,male,high,private,50,42,50,36,not enrolled
academic,46,female,low,public,45,55,44,34,not enrolled
vocation,49,male,high,public,50,40,39,49,not enrolled
academic,8,female,low,public,39,44,52,44,not enrolled
vocation,124,female,low,public,42,54,41,42,not enrolled
vocation,13,female,middle,public,47,46,39,47,not enrolled
general,111,female,low,public,39,54,39,47,not enrolled
vocation,142,female,middle,public,47,42,52,39,not enrolled
academic,193,female,middle,private,44,49,48,39,not enrolled
academic,105,female,middle,public,50,41,45,44,not enrolled
vocation,58,male,middle,public,55,41,40,44,not enrolled
general,129,female,low,public,44,44,46,47,not enrolled
academic,38,male,low,public,45,57,50,31,not enrolled
academic,182,female,middle,private,44,52,43,44,not enrolled
general,115,male,low,public,42,49,43,50,not enrolled
academic,14,male,high,public,47,41,54,42,not enrolled
general,175,female,high,private,36,57,42,50,not enrolled
vocation,44,female,low,public,47,62,45,34,enrolled
general,86,male,high,public,44,33,54,58,not enrolled
vocation,72,female,middle,public,42,54,47,47,not enrolled
academic,41,male,middle,public,50,40,45,55,not enrolled
academic,191,female,high,private,47,52,43,48,not enrolled
vocation,138,female,middle,public,43,57,40,50,not enrolled
vocation,9,male,middle,public,48,49,52,44,not enrolled
vocation,151,female,middle,public,47,46,52,48,not enrolled
general,119,female,low,public,42,57,45,50,not enrolled
academic,55,female,middle,private,52,49,49,44,not enrolled
academic,73,female,middle,public,50,52,53,39,not enrolled
general,28,female,middle,public,39,53,54,50,not enrolled
academic,90,female,high,public,42,54,50,50,not enrolled
academic,17,female,middle,public,47,57,48,44,not enrolled
academic,102,male,high,public,52,41,51,53,not enrolled
general,70,male,low,public,57,52,41,47,not enrolled
vocation,148,female,middle,public,42,57,51,47,not enrolled
general,54,female,low,private,47,54,46,50,not enrolled
vocation,42,female,middle,public,46,52,55,44,not enrolled
general,87,female,middle,public,50,52,46,50,not enrolled
general,21,male,middle,public,44,44,61,50,not enrolled
academic,181,male,middle,private,50,46,45,58,not enrolled
vocation,165,male,low,public,36,49,54,61,not enrolled
academic,78,female,middle,public,39,54,54,53,not enrolled
academic,76,male,high,public,47,52,51,50,not enrolled
general,29,male,low,public,52,44,49,55,not enrolled
vocation,91,female,high,public,50,49,56,47,not enrolled
academic,52,female,low,public,50,46,53,53,not enrolled
general,10,female,middle,public,47,54,49,53,not enrolled
general,85,male,middle,public,55,39,57,53,not enrolled
general,50,male,middle,public,50,59,42,53,not enrolled
vocation,56,male,middle,public,55,45,46,58,not enrolled
vocation,64,female,high,public,50,52,45,58,not enrolled
general,130,female,high,public,43,54,55,55,not enrolled
vocation,141,male,high,public,63,44,47,53,not enrolled
academic,74,female,middle,public,57,50,50,51,not enrolled
vocation,83,female,middle,public,50,62,41,55,enrolled
general,31,female,middle,private,55,59,52,42,not enrolled
academic,172,male,middle,public,47,52,57,53,not enrolled
vocation,184,female,middle,private,50,52,53,55,not enrolled
vocation,75,male,middle,public,60,46,51,53,not enrolled
general,187,female,middle,private,57,41,57,55,not enrolled
academic,113,male,middle,public,44,52,51,63,not enrolled
vocation,162,female,middle,public,57,52,40,61,not enrolled
vocation,110,female,middle,public,52,55,50,54,not enrolled
vocation,150,male,middle,public,42,41,57,72,not enrolled
general,167,male,middle,public,63,49,35,66,not enrolled
academic,77,female,low,public,61,59,49,44,not enrolled
general,35,female,low,private,60,54,50,50,not enrolled
general,158,female,middle,public,52,54,55,53,not enrolled
academic,112,female,middle,public,52,59,48,55,not enrolled
academic,48,male,middle,public,57,55,52,50,not enrolled
academic,147,female,low,public,47,62,53,53,enrolled
academic,7,male,middle,public,57,54,59,47,not enrolled
academic,65,female,middle,public,55,54,66,42,not enrolled
academic,168,male,middle,public,52,54,57,55,not enrolled
academic,190,female,middle,private,47,59,54,58,not enrolled
vocation,178,male,middle,private,47,57,57,58,not enrolled
academic,159,male,high,public,55,61,54,49,enrolled
academic,120,female,high,public,63,52,54,50,not enrolled
academic,116,female,middle,public,57,59,54,50,not enrolled
academic,79,female,middle,public,60,62,49,50,enrolled
vocation,98,female,low,public,57,60,51,53,enrolled
academic,122,female,middle,public,52,59,58,53,not enrolled
academic,179,female,middle,private,47,65,60,50,enrolled
academic,198,female,high,private,47,61,51,63,enrolled
academic,189,male,middle,private,47,59,63,53,not enrolled
academic,199,male,high,private,52,59,50,61,not enrolled
academic,156,female,middle,public,50,59,53,61,not enrolled
academic,166,female,middle,public,52,59,53,61,not enrolled
academic,160,female,middle,public,55,65,55,50,enrolled
academic,152,female,high,public,55,57,56,58,not enrolled
academic,183,male,middle,private,63,59,49,55,not enrolled
academic,94,male,high,public,55,49,61,61,not enrolled
general,149,male,low,public,63,49,49,66,not enrolled
academic,131,female,high,public,65,59,57,46,not enrolled
academic,24,male,middle,public,52,62,66,47,enrolled
general,99,female,high,public,47,59,56,66,not enrolled
academic,171,male,middle,public,60,54,60,55,not enrolled
academic,104,male,high,public,54,63,57,55,enrolled
academic,81,male,low,public,63,43,59,65,not enrolled
academic,97,male,high,public,60,54,58,58,not enrolled
academic,20,male,high,public,60,52,57,61,not enrolled
academic,163,female,low,public,52,57,64,58,not enrolled
general,195,male,middle,private,57,57,60,58,not enrolled
general,84,male,middle,public,63,57,54,58,not enrolled
academic,27,male,middle,public,53,61,61,57,enrolled
general,118,female,middle,public,55,62,58,58,enrolled
general,71,female,middle,public,57,62,56,58,enrolled
general,63,female,low,public,52,65,60,56,enrolled
academic,185,male,middle,private,63,57,55,58,not enrolled
academic,127,male,high,public,63,59,57,55,not enrolled
academic,177,male,middle,private,55,59,62,58,not enrolled
academic,188,female,high,private,63,62,56,55,enrolled
academic,60,male,middle,public,57,65,51,63,enrolled
vocation,66,female,middle,public,68,62,56,50,enrolled
general,173,female,low,public,50,62,61,63,enrolled
academic,186,female,middle,private,57,62,63,55,enrolled
academic,96,female,high,public,65,54,61,58,not enrolled
academic,101,female,high,public,60,62,67,50,enrolled
academic,3,male,low,public,63,65,48,63,enrolled
academic,170,male,high,public,47,62,61,69,enrolled
general,92,female,high,public,52,67,57,63,enrolled
general,62,male,high,public,65,65,48,63,enrolled
academic,135,female,low,public,63,60,65,54,enrolled
academic,26,female,high,public,60,59,62,61,not enrolled
academic,139,female,middle,public,68,59,61,55,not enrolled
vocation,121,female,middle,public,68,59,53,63,not enrolled
general,144,male,high,public,60,65,58,61,enrolled
academic,146,male,high,public,55,62,64,63,enrolled
academic,137,female,high,public,63,65,65,53,enrolled
general,123,male,high,public,68,59,56,63,not enrolled
general,169,male,low,public,55,59,63,69,not enrolled
academic,34,female,high,private,73,61,57,55,enrolled
academic,33,female,low,public,57,65,72,54,enrolled
vocation,32,female,high,public,50,67,66,66,enrolled
academic,114,male,high,public,68,65,62,55,enrolled
academic,125,female,low,public,68,65,58,59,enrolled
academic,59,female,middle,public,65,67,63,55,enrolled
academic,23,female,low,public,65,65,64,58,enrolled
academic,161,female,low,public,57,62,72,61,enrolled
academic,103,male,high,public,76,52,64,64,not enrolled
academic,194,female,high,private,63,63,69,61,enrolled
academic,136,male,middle,public,65,59,70,63,not enrolled
academic,154,male,high,public,65,65,66,61,enrolled
general,157,male,middle,public,68,59,58,74,not enrolled
academic,93,female,high,public,73,67,62,58,enrolled
academic,39,female,high,public,66,67,67,61,enrolled
academic,88,female,high,public,68,60,64,69,enrolled
academic,192,male,high,private,65,67,63,66,enrolled
academic,80,male,high,public,65,62,68,66,enrolled
academic,200,male,middle,private,68,54,75,66,not enrolled
academic,180,female,high,private,71,65,69,58,enrolled
academic,82,female,high,public,68,62,65,69,enrolled
academic,174,male,middle,private,68,59,71,66,not enrolled
academic,95,male,high,public,73,60,71,61,enrolled
academic,61,female,high,public,76,63,60,67,enrolled
academic,100,female,high,public,63,65,71,69,enrolled
vocation,143,male,middle,public,63,63,75,72,enrolled
academic,68,male,middle,public,73,67,71,63,enrolled
academic,57,female,middle,public,71,65,72,66,enrolled
academic,132,male,middle,public,73,62,73,69,enrolled
